,data_mes,satelite,bioma,qtd
424,2015-12-01,AQUA_M-T,Amazônia,11303
425,2015-12-01,AQUA_M-T,Caatinga,2071
426,2015-12-01,AQUA_M-T,Cerrado,2563
427,2015-12-01,AQUA_M-T,Mata Atlântica,1251
428,2015-12-01,AQUA_M-T,Pampa,21
429,2015-12-01,AQUA_M-T,Pantanal,494
430,2015-12-01,NPP-375,Amazônia,120393
431,2015-12-01,NPP-375,Caatinga,12510
432,2015-12-01,NPP-375,Cerrado,20790
433,2015-12-01,NPP-375,Mata Atlântica,12203
434,2015-12-01,NPP-375,Pampa,132
435,2015-12-01,NPP-375,Pantanal,4131
436,2016-01-01,AQUA_M-T,Amazônia,4657
437,2016-01-01,AQUA_M-T,Caatinga,258
438,2016-01-01,AQUA_M-T,Cerrado,392
439,2016-01-01,AQUA_M-T,Mata Atlântica,579
440,2016-01-01,AQUA_M-T,Pampa,37
441,2016-01-01,AQUA_M-T,Pantanal,37
442,2016-01-01,NPP-375,Amazônia,41559
443,2016-01-01,NPP-375,Caatinga,1820
444,2016-01-01,NPP-375,Cerrado,1640
445,2016-01-01,NPP-375,Mata Atlântica,4780
446,2016-01-01,NPP-375,Pampa,319
447,2016-01-01,NPP-375,Pantanal,334
448,2016-02-01,AQUA_M-T,Amazônia,1559
449,2016-02-01,AQUA_M-T,Caatinga,112
450,2016-02-01,AQUA_M-T,Cerrado,1048
451,2016-02-01,AQUA_M-T,Mata Atlântica,457
452,2016-02-01,AQUA_M-T,Pampa,33
453,2016-02-01,AQUA_M-T,Pantanal,29
454,2016-02-01,NPP-375,Amazônia,11968
455,2016-02-01,NPP-375,Caatinga,1388
456,2016-02-01,NPP-375,Cerrado,5802
457,2016-02-01,NPP-375,Mata Atlântica,3803
458,2016-02-01,NPP-375,Pampa,254
459,2016-02-01,NPP-375,Pantanal,195
460,2016-03-01,AQUA_M-T,Amazônia,2024
461,2016-03-01,AQUA_M-T,Caatinga,56
462,2016-03-01,AQUA_M-T,Cerrado,767
463,2016-03-01,AQUA_M-T,Mata Atlântica,536
464,2016-03-01,AQUA_M-T,Pampa,24
465,2016-03-01,AQUA_M-T,Pantanal,18
466,2016-03-01,NPP-375,Amazônia,18464
467,2016-03-01,NPP-375,Caatinga,1233
468,2016-03-01,NPP-375,Cerrado,1882
469,2016-03-01,NPP-375,Mata Atlântica,4721
470,2016-03-01,NPP-375,Pampa,190
471,2016-03-01,NPP-375,Pantanal,117
472,2016-04-01,AQUA_M-T,Amazônia,1075
473,2016-04-01,AQUA_M-T,Caatinga,95
474,2016-04-01,AQUA_M-T,Cerrado,1449
475,2016-04-01,AQUA_M-T,Mata Atlântica,732
476,2016-04-01,AQUA_M-T,Pampa,23
477,2016-04-01,AQUA_M-T,Pantanal,34
478,2016-04-01,NPP-375,Amazônia,3807
479,2016-04-01,NPP-375,Caatinga,1114
480,2016-04-01,NPP-375,Cerrado,6756
481,2016-04-01,NPP-375,Mata Atlântica,5945
482,2016-04-01,NPP-375,Pampa,95
